tokenized_sents,duplicate
Not any more does he long for the magic of farther hills or sigh for secrets that peer like green reefs from a bottomless sea,Not any more does he long for the magic of farther hills or sigh for secrets that peer like green reefs from a bottomless sea
Then as I remained paralysed with fear he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights,Then as I remained paralysed with fear he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights
they never stopped swimmin in an aout o the river from that cursed reef o Satan an more an more attic winders got a boarded up an more an more noises was heerd in haouses as want sposed to hev nobody in em   ,they never stopped swimmin in an aout o the river from that cursed reef o Satan an more an more attic winders got a boarded up an more an more noises was heerd in haouses as want sposed to hev nobody in em   
At Lawrence he had been prominent in the mock fraternity of Tappa Tappa Keg where he was the wildest and merriest of the wild and merry young roysterers but this immature collegiate frivolity did not satisfy him,At Lawrence he had been prominent in the mock fraternity of Tappa Tappa Keg where he was the wildest and merriest of the wild and merry young roysterers but this immature collegiate frivolity did not satisfy him
The limbs save for their black fur roughly resembled the hind legs of prehistoric earths giant saurians and terminated in ridgy veined pads that were neither hooves nor claws,The limbs save for their black fur roughly resembled the hind legs of prehistoric earths giant saurians and terminated in ridgy veined pads that were neither hooves nor claws
There were adequate bolts on the two lateral doors to connecting rooms and these I proceeded to fasten,There were adequate bolts on the two lateral doors to connecting rooms and these I proceeded to fasten
The professor had been stricken whilst returning from the Newport boat falling suddenly as witnesses said after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceaseds home in Williams Street,The professor had been stricken whilst returning from the Newport boat falling suddenly as witnesses said after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceaseds home in Williams Street
Suddenly the wretch animated with his last burst of strength raised his hideous head from the damp and sunken pavement,Suddenly the wretch animated with his last burst of strength raised his hideous head from the damp and sunken pavement
He also cut timber and began to repair the unused parts of his house a spacious peaked roofed affair whose rear end was buried entirely in the rocky hillside and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter,He also cut timber and began to repair the unused parts of his house a spacious peaked roofed affair whose rear end was buried entirely in the rocky hillside and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter
Sheehans is the acknowledged centre to Chicagos subterranean traffic in liquor and narcotics and as such has a certain dignity which extends even to the unkempt attachAs of the place but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth but not the importance of Sheehans,Sheehans is the acknowledged centre to Chicagos subterranean traffic in liquor and narcotics and as such has a certain dignity which extends even to the unkempt attachAs of the place but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth but not the importance of Sheehans
It was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy,It was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy
You ought to hear though what some of the old timers tell about the black reef off the coast Devil Reef they call it,You ought to hear though what some of the old timers tell about the black reef off the coast Devil Reef they call it
For a week I tasted to the full the joys of that charnel conviviality which I must not describe when the thing happened and I was borne away to this accursed abode of sorrow and monotony,For a week I tasted to the full the joys of that charnel conviviality which I must not describe when the thing happened and I was borne away to this accursed abode of sorrow and monotony
He see enough I tell ye Mis Corey This dunt mean no good an I think as all the men folks ought to git up a party an do suthin,He see enough I tell ye Mis Corey This dunt mean no good an I think as all the men folks ought to git up a party an do suthin
No recognised school of sculpture had animated this terrible object yet centuries and even thousands of years seemed recorded in its dim and greenish surface of unplaceable stone,No recognised school of sculpture had animated this terrible object yet centuries and even thousands of years seemed recorded in its dim and greenish surface of unplaceable stone
All in all he became a disconcerting and even gruesome companion yet in my gratitude for his healing I could not well abandon him to the strangers around him and was careful to dust his room and attend to his needs each day muffled in a heavy ulster which I bought especially for the purpose,All in all he became a disconcerting and even gruesome companion yet in my gratitude for his healing I could not well abandon him to the strangers around him and was careful to dust his room and attend to his needs each day muffled in a heavy ulster which I bought especially for the purpose
It was a lambent glow of this sort which always played about the old woman and the small furry thing in those lighter sharper dreams which prefaced his plunge into unknown abysses and the thought that a wakeful second person could see the dream luminance was utterly beyond sane harbourage,It was a lambent glow of this sort which always played about the old woman and the small furry thing in those lighter sharper dreams which prefaced his plunge into unknown abysses and the thought that a wakeful second person could see the dream luminance was utterly beyond sane harbourage
Uninquiring souls let this occurrence pass as one of the major clashes in a spasmodic war on liquor,Uninquiring souls let this occurrence pass as one of the major clashes in a spasmodic war on liquor
Beyond it the rusted railway and the Rowley road led off through a flat marshy terrain dotted with islets of higher and dryer scrub grown land,Beyond it the rusted railway and the Rowley road led off through a flat marshy terrain dotted with islets of higher and dryer scrub grown land
Williamson records and traditions were supplied in abundance by my grandfather though for Orne material I had to depend on my uncle Walter who put at my disposal the contents of all his files including notes letters cuttings heirlooms photographs and miniatures,Williamson records and traditions were supplied in abundance by my grandfather though for Orne material I had to depend on my uncle Walter who put at my disposal the contents of all his files including notes letters cuttings heirlooms photographs and miniatures
When I heard the fears which had driven the people from Kilderry I laughed as loudly as my friend had laughed for these fears were of the vaguest wildest and most absurd character,When I heard the fears which had driven the people from Kilderry I laughed as loudly as my friend had laughed for these fears were of the vaguest wildest and most absurd character
I had been albeit without definite reason instinctively on my guard and that was to my advantage in the new and real crisis whatever it might turn out to be,I had been albeit without definite reason instinctively on my guard and that was to my advantage in the new and real crisis whatever it might turn out to be
Then with utter and horrifying suddenness we heard a frightful sound from below,Then with utter and horrifying suddenness we heard a frightful sound from below
What do maps and records and guide books really tell of the North End Bah At a guess I will guarantee to lead you to thirty or forty alleys and networks of alleys north of Prince Street that are not suspected by ten living beings outside of the foreigners that swarm them,What do maps and records and guide books really tell of the North End Bah At a guess I will guarantee to lead you to thirty or forty alleys and networks of alleys north of Prince Street that are not suspected by ten living beings outside of the foreigners that swarm them
It would be useless to describe the playing of Erich Zann on that dreadful night,It would be useless to describe the playing of Erich Zann on that dreadful night
After that Johansen only brooded over the idol in the cabin and attended to a few matters of food for himself and the laughing maniac by his side,After that Johansen only brooded over the idol in the cabin and attended to a few matters of food for himself and the laughing maniac by his side
I retired early and full of dread and for a long time could not sleep in the uncanny silence of the tower,I retired early and full of dread and for a long time could not sleep in the uncanny silence of the tower
Refusing to flee I watched it fade and as I watched I felt that it was in turn watching me greedily with eyes more imaginable than visible,Refusing to flee I watched it fade and as I watched I felt that it was in turn watching me greedily with eyes more imaginable than visible
That scene itself must have corresponded to the sealed loft overhead which had begun to attack his imagination so violently but later impressions were faint and hazy,That scene itself must have corresponded to the sealed loft overhead which had begun to attack his imagination so violently but later impressions were faint and hazy
It was plain that the owner had come home but he had not come from the land nor from any balloon or airship that could be imagined,It was plain that the owner had come home but he had not come from the land nor from any balloon or airship that could be imagined
Others thought and still think he would found an old pirate cache out on Devil Reef,Others thought and still think he would found an old pirate cache out on Devil Reef
This is what I saw in the glass A thin dark man of medium stature attired in the clerical garb of the Anglican church apparently about thirty and with rimless steel bowed glasses glistening beneath a sallow olive forehead of abnormal height,This is what I saw in the glass A thin dark man of medium stature attired in the clerical garb of the Anglican church apparently about thirty and with rimless steel bowed glasses glistening beneath a sallow olive forehead of abnormal height
He developed strange caprices acquiring a fondness for exotic spices and Egyptian incense till his room smelled like the vault of a sepulchred Pharaoh in the Valley of Kings,He developed strange caprices acquiring a fondness for exotic spices and Egyptian incense till his room smelled like the vault of a sepulchred Pharaoh in the Valley of Kings
Haowd ye like to hear what comes from that awful reef every May Eve an Hallowmass,Haowd ye like to hear what comes from that awful reef every May Eve an Hallowmass
The alienists listened with keen attention to his words since their curiosity had been aroused to a high pitch by the suggestive yet mostly conflicting and incoherent stories of his family and neighbours,The alienists listened with keen attention to his words since their curiosity had been aroused to a high pitch by the suggestive yet mostly conflicting and incoherent stories of his family and neighbours
It must have been midnight at least when Birch decided he could get through the transom,It must have been midnight at least when Birch decided he could get through the transom
As my uncle began slowly and grudgingly to unwrap the things he urged me not to be shocked by the strangeness and frequent hideousness of the designs,As my uncle began slowly and grudgingly to unwrap the things he urged me not to be shocked by the strangeness and frequent hideousness of the designs
As I looked a subtle curious sense of beckoning seemed superadded to the grim repulsion and oddly enough I found this overtone more disturbing than the primary impression,As I looked a subtle curious sense of beckoning seemed superadded to the grim repulsion and oddly enough I found this overtone more disturbing than the primary impression
It is curious that although he differed so widely from the mass of Hispanicised and tribal Indians Romero gave not the least impression of Caucasian blood,It is curious that although he differed so widely from the mass of Hispanicised and tribal Indians Romero gave not the least impression of Caucasian blood
The task seemed interminable and I raged almost as violently as the hermit when I saw the hours slipping by in a breathless foodless round of vain telephoning and a hectic quest from place to place hither and thither by subway and surface car,The task seemed interminable and I raged almost as violently as the hermit when I saw the hours slipping by in a breathless foodless round of vain telephoning and a hectic quest from place to place hither and thither by subway and surface car
Who or what then was my great great grandmother,Who or what then was my great great grandmother
Nor was any child to be born alive in that house for a century and a half,Nor was any child to be born alive in that house for a century and a half
Then as September approached the clouds began to clear,Then as September approached the clouds began to clear
At times her screams became insupportable and for long periods she would utter shrieking horrors which necessitated her sons temporary residence with his cousin Peleg Harris in Presbyterian Lane near the new college building,At times her screams became insupportable and for long periods she would utter shrieking horrors which necessitated her sons temporary residence with his cousin Peleg Harris in Presbyterian Lane near the new college building
It was the pictorial carving however that did most to hold me spellbound,It was the pictorial carving however that did most to hold me spellbound
The grave was not very deep but fully as good as that of the previous specimen the thing which had risen of itself and uttered a sound,The grave was not very deep but fully as good as that of the previous specimen the thing which had risen of itself and uttered a sound
The abysses were by no means vacant being crowded with indescribably angled masses of alien hued substance some of which appeared to be organic while others seemed inorganic,The abysses were by no means vacant being crowded with indescribably angled masses of alien hued substance some of which appeared to be organic while others seemed inorganic
Past the churchyard where there were no houses I could see over the hills summit and watch the glimmer of stars on the harbour though the town was invisible in the dark,Past the churchyard where there were no houses I could see over the hills summit and watch the glimmer of stars on the harbour though the town was invisible in the dark
The tension on our part became very great,The tension on our part became very great
You on earth have unwittingly felt its distant presence you who without knowing idly gave to its blinking beacon the name of Algol the Daemon Star,You on earth have unwittingly felt its distant presence you who without knowing idly gave to its blinking beacon the name of Algol the Daemon Star
Again a furtive trying of a bolted connecting door and again a receding creaking,Again a furtive trying of a bolted connecting door and again a receding creaking
I was still alone for as much as I feared the unknown horror I sought there was more fear in the thought of telling anybody,I was still alone for as much as I feared the unknown horror I sought there was more fear in the thought of telling anybody
He knew things he did not dare put into that stupid Magnalia or that puerile Wonders of the Invisible World,He knew things he did not dare put into that stupid Magnalia or that puerile Wonders of the Invisible World
Briden looked back and went mad laughing shrilly as he kept on laughing at intervals till death found him one night in the cabin whilst Johansen was wandering deliriously,Briden looked back and went mad laughing shrilly as he kept on laughing at intervals till death found him one night in the cabin whilst Johansen was wandering deliriously
To this man Iranon spoke as to so many others Canst thou tell me where I may find Aira the city of marble and beryl where flows the hyaline Nithra and where the falls of the tiny Kra sing to verdant valleys and hills forested with yath trees,To this man Iranon spoke as to so many others Canst thou tell me where I may find Aira the city of marble and beryl where flows the hyaline Nithra and where the falls of the tiny Kra sing to verdant valleys and hills forested with yath trees
In my childhood the shunned house was vacant with barren gnarled and terrible old trees long queerly pale grass and nightmarishly misshapen weeds in the high terraced yard where birds never lingered,In my childhood the shunned house was vacant with barren gnarled and terrible old trees long queerly pale grass and nightmarishly misshapen weeds in the high terraced yard where birds never lingered
There were reasons why I would have been glad to let the war separate us reasons why I found the practice of medicine and the companionship of West more and more irritating but when he had gone to Ottawa and through a colleagues influence secured a medical commission as Major I could not resist the imperious persuasion of one determined that I should accompany him in my usual capacity,There were reasons why I would have been glad to let the war separate us reasons why I found the practice of medicine and the companionship of West more and more irritating but when he had gone to Ottawa and through a colleagues influence secured a medical commission as Major I could not resist the imperious persuasion of one determined that I should accompany him in my usual capacity
Geographically it lay about two miles northwest of the base of Tempest Mountain and three miles from the oak girt mansion,Geographically it lay about two miles northwest of the base of Tempest Mountain and three miles from the oak girt mansion
Then the lock of the connecting door to my room was softly tried,Then the lock of the connecting door to my room was softly tried
On his throat were the marks of murderous hands and on his left ankle was a distressing rat bite,On his throat were the marks of murderous hands and on his left ankle was a distressing rat bite
Thus was I left to ponder on myself as the only human creature within the great fortress and in my utter solitude my mind began to cease its vain protest against the impending doom to become almost reconciled to the fate which so many of my ancestors had met,Thus was I left to ponder on myself as the only human creature within the great fortress and in my utter solitude my mind began to cease its vain protest against the impending doom to become almost reconciled to the fate which so many of my ancestors had met
But even in this acute moment my chief horror was something apart from the immediate weakness of my defences,But even in this acute moment my chief horror was something apart from the immediate weakness of my defences
Trade fallin off mills losin business even the new ones an the best of our menfolks kilt a privateerin in the War of or lost with the Elizy brig an the Ranger snow both of em Gilman venters,Trade fallin off mills losin business even the new ones an the best of our menfolks kilt a privateerin in the War of or lost with the Elizy brig an the Ranger snow both of em Gilman venters
all over the reef an swimmin up the harbour into the Manuxet   ,all over the reef an swimmin up the harbour into the Manuxet   
and one who led the way was clad in a ghoulishly humped black coat and striped trousers and had a mans felt hat perched on the shapeless thing that answered for a head   ,and one who led the way was clad in a ghoulishly humped black coat and striped trousers and had a mans felt hat perched on the shapeless thing that answered for a head   
The event under the circumstances was tremendous for in the existence of a subterranean space here my mad theories had terrible confirmation,The event under the circumstances was tremendous for in the existence of a subterranean space here my mad theories had terrible confirmation
Gilmans dreams consisted largely in plunges through limitless abysses of inexplicably coloured twilight and bafflingly disordered sound abysses whose material and gravitational properties and whose relation to his own entity he could not even begin to explain,Gilmans dreams consisted largely in plunges through limitless abysses of inexplicably coloured twilight and bafflingly disordered sound abysses whose material and gravitational properties and whose relation to his own entity he could not even begin to explain
The insane yarn I had heard from the aged drunkard did not promise very pleasant dreams and I felt I must keep the image of his wild watery eyes as far as possible from my imagination,The insane yarn I had heard from the aged drunkard did not promise very pleasant dreams and I felt I must keep the image of his wild watery eyes as far as possible from my imagination
There was none of the exotic technique you see in Sidney Sime none of the trans Saturnian landscapes and lunar fungi that Clark Ashton Smith uses to freeze the blood,There was none of the exotic technique you see in Sidney Sime none of the trans Saturnian landscapes and lunar fungi that Clark Ashton Smith uses to freeze the blood
For Arthur Munroe was dead,For Arthur Munroe was dead
These Great Old Ones Castro continued were not composed altogether of flesh and blood,These Great Old Ones Castro continued were not composed altogether of flesh and blood
When the old woman began to turn toward him he fled precipitately off the bridge and into the shelter of the towns labyrinthine waterfront alleys,When the old woman began to turn toward him he fled precipitately off the bridge and into the shelter of the towns labyrinthine waterfront alleys
I took it because of the queer old brick well in the cellar one of the sort I told you about,I took it because of the queer old brick well in the cellar one of the sort I told you about
He knew deeper vices through books and he now longed to know them at first hand,He knew deeper vices through books and he now longed to know them at first hand
Then too we had spoken to him in advance of our quest and I felt after my uncles going that he would understand and assist me in some vitally necessary public explanations,Then too we had spoken to him in advance of our quest and I felt after my uncles going that he would understand and assist me in some vitally necessary public explanations
I was very sorry for him for I dislike to see a German suffer but he was not a good man to die with,I was very sorry for him for I dislike to see a German suffer but he was not a good man to die with
An the smell was awful like what it is araound Wizard Whateleys ol haouse  ,An the smell was awful like what it is araound Wizard Whateleys ol haouse  
On a certain rainy afternoon when this illusion seemed phenomenally strong and when in addition I had fancied I glimpsed a kind of thin yellowish shimmering exhalation rising from the nitrous pattern toward the yawning fireplace I spoke to my uncle about the matter,On a certain rainy afternoon when this illusion seemed phenomenally strong and when in addition I had fancied I glimpsed a kind of thin yellowish shimmering exhalation rising from the nitrous pattern toward the yawning fireplace I spoke to my uncle about the matter
Accordingly I kept north along Main to Martin then turning inland crossing Federal Street safely north of the Green and entering the decayed patrician neighbourhood of northern Broad Washington Lafayette and Adams Streets,Accordingly I kept north along Main to Martin then turning inland crossing Federal Street safely north of the Green and entering the decayed patrician neighbourhood of northern Broad Washington Lafayette and Adams Streets
In Bolton the prevailing spirit of Puritanism had outlawed the sport of boxing with the usual result,In Bolton the prevailing spirit of Puritanism had outlawed the sport of boxing with the usual result
Yet where had the fellow got such an odd notion,Yet where had the fellow got such an odd notion
At night he would not be alone nor would the company of a few persons calm him,At night he would not be alone nor would the company of a few persons calm him
Its persistence among a simple people was quite natural in view of the sudden and permanent return of abundantly fine fishing and it soon came to be the greatest influence on the town replacing Freemasonry altogether and taking up headquarters in the old Masonic Hall on New Church Green,Its persistence among a simple people was quite natural in view of the sudden and permanent return of abundantly fine fishing and it soon came to be the greatest influence on the town replacing Freemasonry altogether and taking up headquarters in the old Masonic Hall on New Church Green
We both inserted the whole unopened wooden box closed the door and started the electricity,We both inserted the whole unopened wooden box closed the door and started the electricity
His dreams were meanwhile increasing in vividness and though shewing him none of the strange cities and incredible gardens of the old days were assuming a definite cast whose purpose could not be mistaken,His dreams were meanwhile increasing in vividness and though shewing him none of the strange cities and incredible gardens of the old days were assuming a definite cast whose purpose could not be mistaken
Now as the baying of that dead fleshless monstrosity grows louder and louder and the stealthy whirring and flapping of those accursed web wings circles closer and closer I shall seek with my revolver the oblivion which is my only refuge from the unnamed and unnamable,Now as the baying of that dead fleshless monstrosity grows louder and louder and the stealthy whirring and flapping of those accursed web wings circles closer and closer I shall seek with my revolver the oblivion which is my only refuge from the unnamed and unnamable
Dr Wests reanimated specimens were not meant for long existence or a large audience,Dr Wests reanimated specimens were not meant for long existence or a large audience
The old woman always appeared out of thin air near the corner where the downward slant met the inward slant,The old woman always appeared out of thin air near the corner where the downward slant met the inward slant
